"Symbol","Name","IPO date","Market cap","IPO book value","Last Close Price","Price over book %","Shares outstanding","Average trading volume","% traded","Action"
"FTEV","FinTech Evolution Acquisition Group Class A","04/21/2021","$279,038,149","10.00","10.18","1.80","27,410,158","44,644","0.16%","Analyze"
"HSPO","Horizon Space Acquisition I Corp.","01/25/2023","$94,133,865","10.00","10.18","1.80","9,210,750","2,503","0.03%","Analyze"
"LGAC","Lazard Growth Acquisition Corp. I","04/05/2021","$0","10.00","10.18","1.80","57,500,000","17,804","0.03%","Analyze"
"PANA","Panacea Acquisition Corp. II Class A","08/24/2020","$181,509,000","10.00","10.18","1.80","17,795,000","101,883","0.57%","Analyze"
"PEGR","Project Energy Reimagined Acquisition Corp. Class A","12/20/2021","$269,052,132","10.00","10.18","1.80","26,377,660","4,386","0.02%","Analyze"
"PEPL","PepperLime Health Acquisition Corporation Class A Ordinary Share","07/14/2003","$173,060,000","10.00","10.18","1.80","17,000,000","8,230","0.05%","Analyze"
"QOMO","Qomolangma Acquisition Corp.","11/25/2022","$72,382,997","10.00","10.18","1.80","7,054,873","200","0.00%","Analyze"
"SCOB","ScION Tech Growth II Class A","04/05/2021","$0","10.00","10.18","1.80","34,500,000","101,666","0.29%","Analyze"
"WAVC","Waverley Capital Acquisition Corp. 1 Class A","10/11/2021","$218,738,057","10.00","10.18","1.80","21,487,039","358,212","1.67%","Analyze"
"ARYE","ARYA Sciences Acquisition Corp V - Class A","07/13/2021","$157,579,800","10.00","10.17","1.70","15,449,000","2,323","0.02%","Analyze"
"ATMV","AlphaVest Acquisition Corp","01/24/2023","$70,276,500","10.00","10.17","1.70","6,900,000","2,894","0.04%","Analyze"
"BRKH","BurTech Acquisition Corp. Class A","01/31/2022","$292,100,000","10.00","10.17","1.70","28,750,000","47,448","0.17%","Analyze"
"CLAS","Class Acceleration Corp. Class A","03/08/2021","$228,825,000","10.00","10.17","1.70","22,500,000","72,515","0.32%","Analyze"
"CONX","CONX Corp. - Class A","12/21/2020","$85,208,165","10.00","10.17","1.70","8,378,384","1,298","0.02%","Analyze"
"FRON","Frontier Acquisition Corp. Class A","05/02/2021","$0","10.00","10.17","1.70","23,660,000","21,994","0.09%","Analyze"
"FWAC","Fifth Wall Acquisition Corp. III Class A","05/19/2021","$289,467,330","10.00","10.17","1.70","28,407,000","25,025","0.09%","Analyze"
"GAMC","Golden Arrow Merger Corp. Class A","05/06/2021","$364,406,250","10.00","10.17","1.70","35,937,500","148,033","0.41%","Analyze"
"HWKZ","Hawks Acquisition Corp","11/29/2021","$233,910,000","10.00","10.17","1.70","23,000,000","228,706","0.99%","Analyze"
"ITQ","Itiquira Acquisition Corp. Class A","05/23/2005","$0","10.00","10.17","1.70","23,000,000","66,025","0.29%","Analyze"
"MSAC","Medicus Sciences Acquisition Corp. Class A Ordinary Share","04/05/2021","$0","10.00","10.17","1.70","9,292,000","1,522","0.02%","Analyze"
"MTAC","MedTech Acquisition Corporation Class A","02/08/2021","$20,022,576","10.00","10.17","1.70","1,953,422","309","0.02%","Analyze"
"NVSA","New Vista Acquisition Corp Class A","04/12/2021","$0","10.00","10.17","1.70","27,600,000","15,484","0.06%","Analyze"
"PTOC","Pine Technology Acquisition Corp. Class A","05/03/2021","$350,175,000","10.00","10.17","1.70","34,500,000","304,843","0.88%","Analyze"
"PUCK","Goal Acquisitions Corp.","03/25/2021","$337,249,913","10.00","10.17","1.70","33,161,250","15,257","0.05%","Analyze"
"TETC","Tech and Energy Transition Corporation Class A","05/07/2021","$391,352,500","10.00","10.17","1.70","38,500,000","311,174","0.81%","Analyze"
"XPAX","XPAC Acquisition Corp. Class A","09/20/2021","$223,344,702","10.00","10.17","1.70","21,961,131","391,110","1.78%","Analyze"
"ATMC","AlphaTime Acquisition Corp","01/18/2023","$70,449,000","10.00","10.16","1.60","6,900,000","28,533","0.41%","Analyze"
"DNZ","D and Z Media Acquisition Corp. Class A","03/18/2021","$254,000,000","10.00","10.16","1.60","25,000,000","4,505","0.02%","Analyze"
"EAC","Edify Acquisition Corp. Class A","03/01/2021","$282,348,000","10.00","10.16","1.60","27,600,000","1,728","0.01%","Analyze"
"FTAA","FTAC Athena Acquisition Corp. Class A Ordinary Share","04/16/2021","$0","10.00","10.16","1.60","25,660,000","460,591","1.80%","Analyze"
"GFOR","Graf Acquisition Corp. IV","07/12/2021","$217,951,050","10.00","10.16","1.60","21,451,875","29,347","0.14%","Analyze"
"GLEE","Gladstone Acquisition Corp. Class A","09/27/2021","$108,735,673","10.00","10.16","1.60","10,702,330","6,745","0.06%","Analyze"
"IPVF","InterPrivate III Financial Partners Inc. Class A","04/25/2021","$274,366,875","10.00","10.16","1.60","26,767,500","7,085","0.03%","Analyze"
"KIII","Kismet Acquisition Three Corp. Class A","04/12/2021","$288,937,500","10.00","10.16","1.60","28,750,000","55,974","0.19%","Analyze"
"MARX","Mars Acquisition Corp.","03/13/2023","$70,104,000","10.00","10.16","1.60","6,900,000","219,457","3.18%","Analyze"
"MUDS","Mudrick Capital Acquisition Corporation II - Class A","03/12/2018","$0","10.00","10.16","1.60","31,625,000","1,132,866","3.58%","Analyze"
"NHIC","NewHold Investment Corp. II Class A","12/13/2021","$197,920,950","10.00","10.16","1.60","19,490,000","48,204","0.25%","Analyze"
"SVFA","SVF Investment Corp. - Class A","01/27/2021","$0","10.00","10.16","1.60","49,607,445","2,093,272","4.22%","Analyze"
"FMIV","Forum Merger IV Corporation Class A","05/13/2021","$436,489,747","10.00","10.15","1.50","43,003,916","388,785","0.90%","Analyze"
"GAPA","G&P Acquisition Corp. Class A","05/03/2021","$0","10.00","10.15","1.50","17,500,000","17,500","0.10%","Analyze"
"HUDA","Hudson Acquisition I Corp.","12/22/2022","$91,385,196","10.00","10.15","1.50","8,941,800","3,062","0.03%","Analyze"
"KSI","Kadem Sustainable Impact Corporation - Class A","11/13/2000","$0","10.00","10.15","1.50","17,500,000","230,331","1.32%","Analyze"
"NGC","Northern Genesis Acquisition Corp. III","05/14/2021","$218,795,938","10.00","10.15","1.50","21,556,250","36,513","0.17%","Analyze"
"SBII","Sandbridge X2 Corp. Class A","04/30/2021","$240,558,780","10.00","10.15","1.50","23,817,701","2,060","0.01%","Analyze"
"SPTK","SportsTek Acquisition Corp. Class A","05/10/2006","$0","10.00","10.15","1.50","17,250,000","1,224","0.01%","Analyze"
"AEAC","Authentic Equity Acquisition Corp. - Class A","03/08/2021","$0","10.00","10.14","1.40","23,000,000","33,125","0.14%","Analyze"
"BLUA","BlueRiver Acquisition Corp. Class A","03/22/2021","$350,987,816","10.00","10.14","1.40","34,614,183","32,901","0.10%","Analyze"
"FINM","Marlin Technology Corporation - Class A","03/05/2021","$0","10.00","10.14","1.40","41,400,000","117,134","0.28%","Analyze"
"JAQC","Jupiter Acquisition Corporation","10/01/2021","$146,728,752","10.00","10.14","1.40","14,570,879","11,799","0.08%","Analyze"
"LOKM","Live Oak Mobility Acquisition Corp. Class A","04/22/2021","$256,542,000","10.00","10.14","1.40","25,300,000","108,946","0.43%","Analyze"
"MIT","Mason Industrial Technology, Inc. Class A","03/22/2021","$507,000,000","10.00","10.14","1.40","50,000,000","1,653,260","3.31%","Analyze"
"SCRM","Screaming Eagle Acquisition Corp. Class A","02/28/2022","$760,125,000","10.00","10.14","1.40","75,000,000","436,574","0.58%","Analyze"
"TWLV","Twelve Seas Investment Company II Class A","04/12/2019","$451,758,000","10.00","10.14","1.40","44,290,000","89,676","0.20%","Analyze"
"TZPS","TZP Strategies Acquisition Corp. - Class A","03/12/2021","$0","10.00","10.14","1.40","28,750,000","385,444","1.34%","Analyze"
"AAQC","Accelerate Acquisition Corp. Class A","05/10/2021","$404,600,000","10.00","10.13","1.30","40,000,000","302,780","0.76%","Analyze"
"ALCC","AltC Acquisition Corp. Class A","07/08/2021","$521,265,675","10.00","10.13","1.30","51,450,000","186,676","0.36%","Analyze"
"BRIV","B. Riley Principal 250 Merger Corp. Class A","06/28/2021","$181,177,500","10.00","10.13","1.30","17,850,000","16,711","0.09%","Analyze"
"CLBR","Colombier Acquisition Corp. Class A","07/07/2021","$174,742,500","10.00","10.13","1.30","17,250,000","405,953","2.35%","Analyze"
"DAOO","Crypto 1 Acquisition Corp Class A","01/12/2022","$0","10.00","10.13","1.30","23,000,000","10,609","0.05%","Analyze"
"EGGF","EG Acquisition Corp. Class A","07/16/2021","$227,925,000","10.00","10.13","1.30","22,500,000","53,412","0.24%","Analyze"
"FCAX","Fortress Capital Acquisition Corp. Class A","03/05/2021","$354,550,000","10.00","10.13","1.30","35,000,000","769,214","2.20%","Analyze"
"FTPA","FTAC Parnassus Acquisition Corp. Class A","05/03/2021","$0","10.00","10.13","1.30","25,690,000","119,147","0.46%","Analyze"
"GGGV","G3 VRM Acquisition Corp. Class A","08/16/2021","$0","10.00","10.13","1.30","11,301,670","2,547","0.02%","Analyze"
"HCNE","Jaws Hurricane Acquisition Corp. Class A","08/02/2021","$320,993,750","10.00","10.13","1.30","31,625,000","56,604","0.18%","Analyze"
"KVSA","Khosla Ventures Acquisition Co. - Class A","03/04/2021","$359,868,600","10.00","10.13","1.30","35,490,000","188,221","0.53%","Analyze"
"KVSC","Khosla Ventures Acquisition Co. III Class A","03/24/2021","$585,076,637","10.00","10.13","1.30","57,756,825","240,520","0.42%","Analyze"
"LITT","Logistics Innovation Technologies Corp. - Class A","08/04/2021","$345,668,656","10.00","10.13","1.30","34,089,611","294,366","0.86%","Analyze"
"POW","Powered Brands - Class A","05/24/2019","$0","10.00","10.13","1.30","25,702,246","8,773","0.03%","Analyze"
"SCAQ","Stratim Cloud Acquisition Corp. Class A","05/03/2021","$253,750,000","10.00","10.13","1.30","25,000,000","159,130","0.64%","Analyze"
"DALS","DA32 Life Science Tech Acquisition Corp.","07/28/2021","$209,184,500","10.00","10.12","1.20","20,650,000","152,435","0.74%","Analyze"
"DLCA","Deep Lake Capital Acquisition Corp. - Class A","03/05/2021","$0","10.00","10.12","1.20","20,700,000","250,837","1.21%","Analyze"
"FLME","Flame Acquisition Corp. Class A","04/19/2021","$290,806,250","10.00","10.12","1.20","28,750,000","10,701","0.04%","Analyze"
"HWEL","Healthwell Acquisition Corp. I Class A","09/23/2021","$253,375,000","10.00","10.12","1.20","25,000,000","182,486","0.73%","Analyze"
"IGAC","IG Acquisition Corp. - Class A","11/23/2020","$0","10.00","10.12","1.20","2,535,838","5,100","0.20%","Analyze"
"PSPC","Post Holdings Partnering Corporation Series A","07/16/2021","$360,170,800","10.00","10.12","1.20","35,590,000","47,674","0.13%","Analyze"
"RCHG","Recharge Acquisition Corp. - Class A","11/20/2020","$0","10.00","10.12","1.20","20,040,000","4,257","0.02%","Analyze"
"ZT","Zimmer Energy Transition Acquisition Corp. - Class A","12/18/2012","$349,140,000","10.00","10.12","1.20","34,500,000","96,843","0.28%","Analyze"
"ACRO","Acropolis Infrastructure Acquisition Corp. Class A","08/30/2021","$348,795,000","10.00","10.11","1.10","34,500,000","200,203","0.58%","Analyze"
"AGCB","Altimeter Growth Corp. 2 Class A","01/07/2021","$465,840,500","10.00","10.11","1.10","46,100,000","1,910","0.00%","Analyze"
"AKIC","Sports Ventures Acquisition Corp. - Class A","02/26/2021","$0","10.00","10.11","1.10","23,660,000","116,595","0.49%","Analyze"
"CNDA","Concord Acquisition Corp II Class A","10/22/2021","$283,038,524","10.00","10.11","1.10","28,009,750","80,002","0.29%","Analyze"
"CVII","Churchill Capital Corp VII Class A","04/05/2021","$1,396,560,000","10.00","10.11","1.10","138,000,000","1,025,171","0.74%","Analyze"
"GWII","Good Works II Acquisition Corp.","08/23/2021","$0","10.00","10.11","1.10","8,874,470","2,492","0.03%","Analyze"
"KLAQ","KL Acquisition Corp Class A","03/01/2021","$0","10.00","10.11","1.10","28,750,000","3,674","0.01%","Analyze"
"RACB","Research Alliance Corp. II - Class A","03/18/2021","$0","10.00","10.11","1.10","15,449,000","13,525","0.09%","Analyze"
"SIER","Sierra Lake Acquisition Corp. Class A","11/05/2021","$0","10.00","10.11","1.10","30,000,000","100,224","0.33%","Analyze"
"TWNI","Tailwind International Acquisition Corp. Class A","04/09/2021","$348,622,500","10.00","10.11","1.10","34,500,000","42,879","0.12%","Analyze"
"ALPA","Alpha Healthcare Acquisition Corp. III Class A","12/06/2002","$160,988,808","10.00","10.10","1.00","15,907,985","817","0.01%","Analyze"
"APMI","AxonPrime Infrastructure Acquisition Corporation Class A","10/04/2021","$151,500,000","10.00","10.10","1.00","15,000,000","20,890","0.14%","Analyze"
"BLAC","Bellevue Life Sciences Acquisition Corp.","03/16/2023","$91,455,500","10.00","10.10","1.00","9,055,000","48,445","0.54%","Analyze"
"CCVI","Churchill Capital Corp VI Class A","04/05/2021","$556,968,000","10.00","10.10","1.00","55,200,000","428,714","0.78%","Analyze"
"DHBC","DHB Capital Corp. Class A","04/22/2021","$0","10.00","10.10","1.00","28,750,000","22,940","0.08%","Analyze"
"EPHY","Epiphany Technology Acquisition Corp. Class A","03/01/2021","$0","10.00","10.10","1.00","41,050,000","41,455","0.10%","Analyze"
"FTVI","FinTech Acquisition Corp. VI Class A","08/16/2021","$259,469,000","10.00","10.10","1.00","25,690,000","30,136","0.12%","Analyze"
"HCAR","Healthcare Services Acquisition Corporation - Class A","01/05/2021","$334,843,200","10.00","10.10","1.00","33,120,000","6,553","0.02%","Analyze"
"HCVI","Hennessy Capital Investment Corp. VI Class A","11/19/2021","$344,338,835","10.00","10.10","1.00","34,092,954","17,230","0.05%","Analyze"
"JOFF","JOFF Fintech Acquisition Corp. Class A","03/29/2021","$0","10.00","10.10","1.00","41,400,000","84,245","0.20%","Analyze"
"LCA","Landcadia Holdings IV, Inc. Class A","06/06/2019","$502,005,000","10.00","10.10","1.00","50,000,000","39,109","0.08%","Analyze"
"LOCC","Live Oak Crestview Climate Acquisition Corp.","11/15/2021","$202,002,000","10.00","10.10","1.00","20,000,000","87,730","0.44%","Analyze"
"MEAC","Mercury Ecommerce Acquisition Corp Class A","09/16/2021","$179,873,755","10.00","10.10","1.00","18,041,500","2,740","0.02%","Analyze"
"OMEG","Omega Alpha SPAC - Class A","01/07/2021","$0","10.00","10.10","1.00","14,301,000","33,021","0.23%","Analyze"
"PMGM","Priveterra Acquisition Corp. - Class A","04/11/2021","$280,692,000","10.00","10.10","1.00","27,600,000","10,007","0.04%","Analyze"
"PRBM","Parabellum Acquisition Corp. Class A","10/26/2021","$144,612,500","10.00","10.10","1.00","14,375,000","9,200","0.06%","Analyze"
"SCOA","ScION Tech Growth I - Class A","07/06/2001","$0","10.00","10.10","1.00","57,500,000","114,079","0.20%","Analyze"
"TACA","Trepont Acquisition Corp I Class A","01/22/2021","$202,000,000","10.00","10.10","1.00","20,000,000","3,545","0.02%","Analyze"
"TMAC","The Music Acquisition Corporation Class A","03/26/2021","$232,300,000","10.00","10.10","1.00","23,000,000","1,151","0.01%","Analyze"
"ATAQ","Altimar Acquisition Corp. III Class A","04/26/2021","$156,648,803","10.00","10.09","0.90","15,525,000","145,105","0.93%","Analyze"
"CAS","Cascade Acquisition Corp. Class A","01/15/2021","$201,800,000","10.00","10.09","0.90","20,000,000","200,519","1.00%","Analyze"
"CCV","Churchill Capital Corp V Class A","02/05/2021","$454,050,000","10.00","10.09","0.90","45,000,000","825,756","1.84%","Analyze"
"EPWR","Empowerment & Inclusion Capital I Corp. Class A","03/01/2021","$278,346,000","10.00","10.09","0.90","27,600,000","6,710","0.02%","Analyze"
"GFX","Golden Falcon Acquisition Corp. Class A","02/08/2021","$348,105,000","10.00","10.09","0.90","34,500,000","5,226","0.02%","Analyze"
"LGV","Longview Acquisition Corp. II Class A","05/10/2021","$696,210,000","10.00","10.09","0.90","69,000,000","100","0.00%","Analyze"
"NSTC","Northern Star Investment Corp. III Class A","11/25/2011","$504,500,000","10.00","10.09","0.90","50,000,000","109,603","0.22%","Analyze"
"RMGC","RMG Acquisition Corp. III Class A","03/29/2021","$492,660,000","10.00","10.09","0.90","48,300,000","5,999","0.01%","Analyze"
"SLAC","Social Leverage Acquisition Corp I Class A","04/05/2021","$433,841,813","10.00","10.09","0.90","43,125,000","9,954","0.02%","Analyze"
"SPGS","Simon Property Group Acquisition Holdings, Inc. Class A","04/12/2021","$348,070,500","10.00","10.09","0.90","34,500,000","15,469","0.04%","Analyze"
"ACII","Atlas Crest Investment Corp. II Class A","03/29/2021","$347,415,000","10.00","10.08","0.80","34,500,000","1,204","0.00%","Analyze"
"COOL","Corner Growth Acquisition Corp. - Class A","02/19/2021","$402,000,000","10.00","10.08","0.80","40,000,000","2,720","0.01%","Analyze"
"CPAA","Conyers Park III Acquisition Corp. Class A","09/09/2019","$359,856,000","10.00","10.08","0.80","35,700,000","31,665","0.09%","Analyze"
"FSSI","Fortistar Sustainable Solutions Corp. Class A","03/19/2021","$0","10.00","10.08","0.80","25,875,000","2,017","0.01%","Analyze"
"GGMC","Glenfarne Merger Corp. - Class A","12/31/1999","$285,872,059","10.00","10.08","0.80","28,109,347","4,972","0.02%","Analyze"
"HCII","Hudson Executive Investment Corp. II Class A","03/18/2021","$226,800,000","10.00","10.08","0.80","22,500,000","25,812","0.11%","Analyze"
"HIII","Hudson Executive Investment Corp. III Class A","04/16/2021","$0","10.00","10.08","0.80","60,000,000","130,003","0.22%","Analyze"
"HLAH","Hamilton Lane Alliance Holdings I, Inc. - Class A","03/05/2021","$0","10.00","10.08","0.80","27,600,000","1,001,919","3.63%","Analyze"
"IIII","INSU Acquisition Corp. III Class A","02/08/2021","$0","10.00","10.08","0.80","25,575,000","167,791","0.66%","Analyze"
"KAIR","Kairos Acquisition Corp. - Class A","02/26/2021","$0","10.00","10.08","0.80","27,600,000","2,704","0.01%","Analyze"
"LHAA","Lerer Hippeau Acquisition Corp. - Class A","03/05/2021","$231,351,211","10.00","10.08","0.80","22,951,509","598","0.00%","Analyze"
"MDH","MDH Acquisition Corp. Class A","03/25/2021","$277,104,000","10.00","10.08","0.80","27,600,000","143,952","0.52%","Analyze"
"NDAC","NightDragon Acquisition Corp. Class A","04/22/2021","$0","10.00","10.08","0.80","35,535,000","59,135","0.17%","Analyze"
"OHPA","Orion Acquisition Corp. Class A","04/22/2021","$0","10.00","10.08","0.80","41,400,000","23,662","0.06%","Analyze"
"PSAG","Property Solutions Acquisition Corporation II Class A","04/09/2021","$0","10.00","10.08","0.80","32,839,000","15,755","0.05%","Analyze"
"ZWRK","Z-Work Acquisition Corp. Class A","03/22/2021","$282,324,992","10.00","10.08","0.80","23,000,000","19,205","0.08%","Analyze"
"ALTU","Altitude Acquisition Corp. - Class A","01/29/2021","$51,005,465","10.00","10.07","0.70","5,055,051","8,411","0.17%","Analyze"
"AMPI","Advanced Merger Partners, Inc. Class A","04/22/2021","$289,512,500","10.00","10.07","0.70","28,750,000","3,206","0.01%","Analyze"
"CLRM","Clarim Acquisition Corp. - Class A","03/22/2021","$0","10.00","10.07","0.70","28,750,000","7,200","0.03%","Analyze"
"COLI","Colicity Inc. Class A","04/16/2021","$0","10.00","10.07","0.70","32,740,915","7,445","0.02%","Analyze"
"CPAR","Catalyst Partners Acquisition Corp. - Class A","07/14/2021","$0","10.00","10.07","0.70","34,603,910","2,915","0.01%","Analyze"
"EUCR","Eucrates Biomedical Acquisition Corp.","12/28/2020","$136,610,109","10.00","10.07","0.70","13,459,124","110","0.00%","Analyze"
"FSRX","FinServ Acquisition Corp. II Class A","04/12/2021","$313,698,000","10.00","10.07","0.70","30,800,000","7,177","0.02%","Analyze"
"HMCO","HumanCo Acquisition Corp. - Class A","01/28/2021","$0","10.00","10.07","0.70","31,250,000","1,344,984","4.30%","Analyze"
"NSTD","Northern Star Investment Corp. IV Class A","04/22/2021","$503,500,000","10.00","10.07","0.70","50,000,000","78,480","0.16%","Analyze"
"OEPW","One Equity Partners Open Water I Corp. Class A","03/15/2021","$0","10.00","10.07","0.70","34,500,000","4,024","0.01%","Analyze"
"OSTR","Oyster Enterprises Acquisition Corp. - Class A","03/12/2021","$0","10.00","10.07","0.70","23,000,000","730","0.00%","Analyze"
"PHIC","Population Health Investment Co., Inc. - Class A","01/08/2021","$0","10.00","10.07","0.70","17,250,000","1,048","0.01%","Analyze"
"PSTH","Pershing Square Tontine Holdings, Ltd. Class A","09/11/2020","$4,028,000,000","20.00","20.14","0.70","200,000,000","18,155,855","9.08%","Analyze"
"SHAC","SCP & CO Healthcare Acquisition Company Class A","03/15/2021","$0","10.00","10.07","0.70","23,000,000","2,682","0.01%","Analyze"
"ACAH","Atlantic Coastal Acquisition Corp. - Class A","04/26/2021","$347,415,000","10.00","10.06","0.60","34,500,000","37,812","0.11%","Analyze"
"BSKY","Big Sky Growth Partners, Inc. Class A","06/18/2021","$0","10.00","10.06","0.60","30,000,000","19,626","0.07%","Analyze"
"DHCA","DHC Acquisition Corp. Class A ordinary share","04/22/2021","$310,784,453","10.00","10.06","0.60","30,945,072","125,141","0.40%","Analyze"
"EQHA","EQ Health Acquisition Corp. Class A","03/22/2021","$221,319,598","10.00","10.06","0.60","21,999,960","7,149","0.03%","Analyze"
"ETAC","E.Merge Technology Acquisition Corp. - Class A","09/18/2020","$0","10.00","10.06","0.60","61,200,000","48,921","0.08%","Analyze"
"GHAC","Gaming & Hospitality Acquisition Corp. - Class A","03/26/2021","$209,125,538","10.00","10.06","0.60","20,777,500","216,219","1.04%","Analyze"
"GHIX","Gores Holdings IX, Inc. Class A","03/03/2022","$527,362,500","10.00","10.06","0.60","52,500,000","122,252","0.23%","Analyze"
"GLHA","Glass Houses Acquisition Corp. - Class A","05/13/2021","$0","10.00","10.06","0.60","22,047,293","7,055","0.03%","Analyze"
"LMACA","Liberty Media Acquisition Corporation Series A","03/15/2021","$0","10.00","10.06","0.60","57,500,000","52,152","0.09%","Analyze"
"MON","Monument Circle Acquisition Corp. - Class A","03/12/2021","$0","10.00","10.06","0.60","25,000,000","26,349","0.11%","Analyze"
"NOAC","Natural Order Acquisition Corp.","01/29/2021","$0","10.00","10.06","0.60","28,750,000","100,641","0.35%","Analyze"
"SHCA","Spindletop Health Acquisition Corp. Class A","12/27/2021","$0","10.00","10.06","0.60","26,315,178","3,256","0.01%","Analyze"
"SWET","Athlon Acquisition Corp. - Class A","10/22/2002","$0","10.00","10.06","0.60","27,600,000","478,669","1.73%","Analyze"
"TSIB","Tishman Speyer Innovation Corp. II Class A","04/04/2021","$0","10.00","10.06","0.60","30,000,000","845","0.00%","Analyze"
"VTIQ","VectoIQ Acquisition Corp. II - Class A","03/03/2021","$431,445,024","10.00","10.06","0.60","35,400,000","480","0.00%","Analyze"
"CRU","Crucible Acquisition Corporation Class A","11/14/2011","$22,612,500","10.00","10.05","0.50","2,250,000","85,276","3.79%","Analyze"
"FVT","Fortress Value Acquisition Corp. III Class A","02/25/2021","$201,000,000","10.00","10.05","0.50","20,000,000","61,600","0.31%","Analyze"
"HAAC","Health Assurance Acquisition Corp. - Class A","01/14/2021","$0","10.00","10.05","0.50","52,500,000","496,467","0.95%","Analyze"
"HCIC","Hennessy Capital Investment Corp. V  - Class A","03/08/2021","$0","10.00","10.05","0.50","34,500,000","6,801","0.02%","Analyze"
"HIGA","H.I.G. Acquisition Corp. Class A","12/11/2020","$365,400,780","10.00","10.05","0.50","36,394,500","202,970","0.56%","Analyze"
"HZON","Horizon Acquisition Corporation II Class A","12/10/2020","$527,625,000","10.00","10.05","0.50","52,500,000","3,263","0.01%","Analyze"
"INKA","KludeIn I Acquisition Corp. - Class A","03/01/2021","$6,440,305","10.00","10.05","0.50","617,864","48,217","7.80%","Analyze"
"LFTR","Lefteris Acquisition Corp. - Class A","12/15/2020","$0","10.00","10.05","0.50","20,709,894","7,867","0.04%","Analyze"
"SCLE","Broadscale Acquisition Corp. Class A","04/05/2021","$0","10.00","10.05","0.50","34,500,000","26,325","0.08%","Analyze"
"SSAA","Science Strategic Acquisition Corp. Alpha - Class A","12/21/2009","$0","10.00","10.05","0.50","31,050,000","1,159","0.00%","Analyze"
"VYGG","Vy Global Growth Class A","11/20/2020","$577,875,000","10.00","10.05","0.50","57,500,000","481,448","0.84%","Analyze"
"AVAN","Avanti Acquisition Corp. Class A","11/23/2020","$602,400,000","10.00","10.04","0.40","60,000,000","7,653,430","12.76%","Analyze"
"BTWN","Bridgetown Holdings Limited - Class A","12/07/2020","$151,911,387","10.00","10.04","0.40","15,093,034","23,011","0.15%","Analyze"
"DILA","DILA Capital Acquisition Corp. Class A","08/04/2021","$0","10.00","10.04","0.40","6,121,980","3,068","0.05%","Analyze"
"FACA","Figure Acquisition Corp. I Class A","04/12/2021","$288,650,000","10.00","10.04","0.40","28,750,000","961","0.00%","Analyze"
"FVIV","Fortress Value Acquisition Corp. IV Class A","05/06/2021","$652,600,000","10.00","10.04","0.40","65,000,000","574","0.00%","Analyze"
"IACC","ION Acquisition Corp 3 Ltd. Class A","04/30/2021","$261,602,240","10.00","10.04","0.40","26,056,000","212","0.00%","Analyze"
"JYAC","Jiya Acquisition Corp. - Class A","11/19/2020","$0","10.00","10.04","0.40","10,859,081","1,461","0.01%","Analyze"
"LUXA","Lux Health Tech Acquisition Corp. - Class A","12/16/2020","$0","10.00","10.04","0.40","34,500,000","2,479,648","7.19%","Analyze"
"MACC","Mission Advancement Corp. Class A","04/23/2021","$347,070,000","10.00","10.04","0.40","34,500,000","478","0.00%","Analyze"
"PMVC","PMV Consumer Acquisition Corp. Class A","11/12/2020","$0","10.00","10.04","0.40","5,046,609","720","0.01%","Analyze"
"REVH","Revolution Healthcare Acquisition Corp. SAIL Class A","05/10/2021","$0","10.00","10.04","0.40","47,503,005","371","0.00%","Analyze"
"RXRA","RXR Acquisition Corp. Class A","04/26/2021","$0","10.00","10.04","0.40","34,500,000","309,638","0.90%","Analyze"
"SRSA","Sarissa Capital Acquisition Corp. - Class A","12/11/2020","$0","10.00","10.04","0.40","20,000,000","7,304","0.04%","Analyze"
"TEKK","Tekkorp Digital Acquisition Corp. - Class A","12/18/2020","$0","10.00","10.04","0.40","25,000,000","34,735","0.14%","Analyze"
"TPGY","TPG Pace Beneficial Finance Corp. Class A","11/27/2020","$351,400,000","10.00","10.04","0.40","35,000,000","244,098","0.70%","Analyze"
"TWCB","Bilander Acquisition Corp. - Class A","09/08/2021","$169,190,044","10.00","10.04","0.40","16,851,598","125,096","0.74%","Analyze"
"PCPC","Periphas Capital Partnering Corporation Class A","02/01/2021","$361,296,000","25.00","25.09","0.36","14,400,000","59,281","0.41%","Analyze"
"ASAQ","Atlantic Avenue Acquisition Corp. Class A","10/15/2020","$250,750,000","10.00","10.03","0.30","25,000,000","141,340","0.57%","Analyze"
"BLSA","BCLS Acquisition Corp. - Class A","10/22/2020","$0","10.00","10.03","0.30","14,862,500","4,694","0.03%","Analyze"
"CLIM","Climate Real Impact Solutions II Acquisition Corporation Class A","03/19/2021","$242,224,500","10.00","10.03","0.30","24,150,000","16,725","0.07%","Analyze"
"IPOD","Social Capital Hedosophia Holdings Corp. IV Class A","11/30/2020","$461,380,000","10.00","10.03","0.30","46,000,000","605,476","1.32%","Analyze"
"IPOF","Social Capital Hedosophia Holdings Corp. VI Class A","11/30/2020","$1,153,450,000","10.00","10.03","0.30","115,000,000","952,276","0.83%","Analyze"
"PIPP","Pine Island Acquisition Corp. Class A","01/07/2021","$219,042,663","10.00","10.03","0.30","21,838,750","290,948","1.33%","Analyze"
"SDAC","Sustainable Development Acquisition I Corp. Class A","03/29/2021","$319,096,250","10.00","10.03","0.30","31,625,000","2,566","0.01%","Analyze"
"TMPM","Turmeric Acquisition Corp. - Class A","12/16/2020","$0","10.00","10.03","0.30","9,775,000","15,659","0.16%","Analyze"
"AFAQ","AF Acquisition Corp.","03/26/2008","$0","10.00","10.02","0.20","22,400,000","115","0.00%","Analyze"
