"Symbol","Name","IPO date","Market cap","IPO book value","Last Close Price","Price over book %","Shares outstanding","Average trading volume","% traded","Action"
"TRIS","Tristar Acquisition I Corp. Class A","12/06/2021","$237,590,000","10.00","10.33","3.30","23,000,000","365,549","1.59%","Analyze"
"VII","7GC & Co. Holdings Inc. - Class A","02/12/2021","$238,050,000","10.00","10.33","3.30","23,000,000","1,557","0.01%","Analyze"
"ASCA","A SPAC I Acquisition Corp. - Class A","03/17/2022","$56,006,109","10.00","10.32","3.20","5,421,695","1,560","0.03%","Analyze"
"CDAQ","Compass Digital Acquisition Corp. Class A","12/06/2021","$216,440,573","10.00","10.32","3.20","21,240,488","3,665","0.02%","Analyze"
"CSLM","Consilium Acquisition Corp I, Ltd. Class A Ordinary Share","03/07/2022","$195,916,875","10.00","10.32","3.20","18,975,000","182,801","0.96%","Analyze"
"GPAC","Global Partner Acquisition Corp II - Class A","10/29/2015","$309,600,000","10.00","10.32","3.20","30,000,000","1,686","0.01%","Analyze"
"PNTM","Pontem Corporation Class A","03/05/2021","$619,200,000","10.00","10.32","3.20","60,000,000","138,135","0.23%","Analyze"
"VMGA","VMG Consumer Acquisition Corp. Class A","01/03/2022","$237,590,000","10.00","10.32","3.20","23,000,000","254,146","1.11%","Analyze"
"WWAC","Worldwide Webb Acquisition Corp. Class A Ordinary Share","12/10/2021","$237,130,000","10.00","10.32","3.20","23,000,000","339,000","1.47%","Analyze"
"BYNO","byNordic Acquisition Corporation - Class A","04/01/2022","$188,630,300","10.00","10.31","3.10","18,190,000","575","0.00%","Analyze"
"CFFS","CF Acquisition Corp. VII Class A","02/09/2022","$193,171,000","10.00","10.31","3.10","18,700,000","45,470","0.24%","Analyze"
"HMAC","Hainan Manaslu Acquisition Corp.","09/11/2022","$92,534,280","10.00","10.31","3.10","8,966,500","10,702","0.12%","Analyze"
"IVCP","Swiftmerge Acquisition Corp. Class A Ordinary Share","02/03/2022","$231,975,000","10.00","10.31","3.10","22,500,000","11,544","0.05%","Analyze"
"NLIT","Northern Lights Acquisition Corp. - Class A","08/18/2021","$124,010,484","10.00","10.31","3.10","12,028,175","61,251","0.51%","Analyze"
"OCAX","OCA Acquisition Corp. - Class A","03/08/2021","$154,433,500","10.00","10.31","3.10","14,950,000","10,554","0.07%","Analyze"
