"Symbol","Name","SPAC IPO date","SPAC merger completion date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"CRXT","Clarus Therapeutics Holdings, Inc.","09/07/2021","09/09/2021","$20,963,152","Drug Manufacturers—General","0.21","0.14","0.05","52,020,731","2,737,134","5.26%","Analyze"
"TMC","TMC the metals company Inc.","10/31/2012","09/09/2021","$228,676,732","Other Industrial Metals & Mining","0.94","0.90","0.86","265,532,666","896,371","0.34%","Analyze"
"RCOR","Renovacor, Inc.","06/22/2020","09/02/2021","$55,262,128","Biotechnology","1.09","1.43","3.20","17,269,415","14,313","0.08%","Analyze"
"RDW","Redwire Corporation","01/14/2021","09/02/2021","$189,642,489","Aerospace & Defense","0.91","1.03","2.97","63,852,690","273,815","0.43%","Analyze"
"OPAD","Offerpad Solutions Inc. Class A","12/11/2020","09/01/2021","$119,867,511","Real Estate Services","0.98","0.37","0.52","232,571,810","592,850","0.25%","Analyze"
"SLGC","SomaLogic, Inc. - Class A","04/23/2021","09/01/2021","$410,935,497","Health Information Services","0.95","0.65","2.33","183,453,347","971,253","0.53%","Analyze"
"CIFR","Cipher Mining Inc.","08/25/2021","08/27/2021","$581,786,317","Capital Markets","1.35","1.68","2.32","248,626,631","1,885,477","0.76%","Analyze"
"HUMA","Humacyte, Inc.","08/23/2021","08/26/2021","$318,636,044","Biotechnology","0.98","0.86","2.90","103,118,461","358,804","0.35%","Analyze"
"IRNT","IronNet, Inc.","03/23/2020","08/26/2021","$35,322,839","Software—Infrastructure","0.96","0.28","0.34","103,707,690","746,822","0.72%","Analyze"
"VLTA","Volta, Inc. Class A","11/02/2020","08/26/2021","$143,542,648","Specialty Retail","1.00","0.65","0.85","168,913,448","2,257,192","1.34%","Analyze"
"EFTR","eFFECTOR Therapeutics, Inc.","03/01/2021","08/25/2021","$15,205,077","Biotechnology","0.82","0.45","0.37","42,401,219","82,711","0.20%","Analyze"
"RKLB","Rocket Lab USA, Inc.","08/19/2021","08/24/2021","$1,838,949,643","Aerospace & Defense","0.95","0.89","3.95","477,649,258","3,642,478","0.76%","Analyze"
"SMRT","SmartRent, Inc. Class A","12/24/2020","08/24/2021","$466,251,461","Software—Application","0.95","0.70","2.34","199,252,761","1,254,420","0.63%","Analyze"
"AGIL","AgileThought, Inc. - Class A","01/14/2020","08/23/2021","$161,606,083","Software—Application","0.91","0.85","3.74","50,032,843","25,595","0.05%","Analyze"
"XOS","Xos, Inc.","08/16/2021","08/19/2021","$82,303,160","Farm & Heavy Construction Machinery","0.83","0.42","0.54","168,034,218","276,946","0.16%","Analyze"
"SPIR","Spire Global, Inc. Class A","12/14/1983","08/16/2021","$99,200,113","Specialty Business Services","0.87","0.55","0.69","143,976,942","507,527","0.35%","Analyze"
"MIMO","Airspan Networks Holdings Inc.","11/19/2020","08/13/2021","$60,158,641","Telecom Services","0.74","0.37","0.81","74,582,992","19,000","0.03%","Analyze"
"MNTS","Momentus Inc. - Class A","01/02/2020","08/12/2021","$56,142,100","Aerospace & Defense","0.81","0.36","0.55","94,056,124","577,896","0.61%","Analyze"
"SRZN","Surrozen, Inc.","08/09/2021","08/11/2021","$27,009,482","Biotechnology","1.03","0.56","1.03","35,122,863","150,314","0.43%","Analyze"
"JOBY","Joby Aviation, Inc.","08/06/2021","08/10/2021","$2,432,626,272","Airports & Air Services","0.98","0.83","3.87","628,585,600","2,720,615","0.43%","Analyze"
"TNGX","Tango Therapeutics, Inc.","08/09/2021","08/10/2021","$358,881,831","Biotechnology","0.95","0.76","4.47","88,177,354","140,892","0.16%","Analyze"
"HIPO","Hippo Holdings Inc.","07/29/2021","08/02/2021","$347,016,274","Insurance—Specialty","1.03","1.64","14.89","23,305,324","130,017","0.56%","Analyze"
"CCCS","CCC Intelligent Solutions Holdings Inc.","07/29/2021","07/30/2021","$5,437,995,543","Software—Infrastructure","0.99","0.97","8.86","625,056,959","1,163,501","0.19%","Analyze"
"ROVR","Rover Group, Inc. - Class A","02/01/2021","07/30/2021","$791,994,552","Personal Services","1.07","1.06","4.45","185,045,456","521,549","0.28%","Analyze"
"CYXT","Cyxtera Technologies, Inc. - Class A","11/02/2020","07/29/2021","$160,924,685","Information Technology Services","0.61","0.22","1.39","179,683,659","591,701","0.33%","Analyze"
"DOMA","Doma Holdings, Inc.","07/26/2021","07/28/2021","$118,851,115","Real Estate Services","0.88","0.53","0.36","330,141,986","970,651","0.29%","Analyze"
"RSVR","Reservoir Media, Inc..","01/05/2021","07/28/2021","$396,612,820","Entertainment","0.99","1.02","6.28","64,385,198","84,693","0.13%","Analyze"
"LCID","Lucid Group, Inc.","09/18/2020","07/23/2021","$14,992,350,004","Auto Manufacturers","1.00","0.60","8.19","1,830,567,766","18,456,014","1.01%","Analyze"
"MVST","Microvast Holdings, Inc.","03/27/2019","07/23/2021","$371,290,234","Electrical Equipment & Parts","0.98","0.57","1.25","309,408,528","1,849,735","0.60%","Analyze"
"MTTR","Matterport, Inc. - Class A","02/02/2021","07/22/2021","$791,684,244","Software—Application","0.96","0.74","2.68","291,060,384","3,258,789","1.12%","Analyze"
"SMFR","Sema4 Holdings Corp. - Class A","11/04/2020","07/22/2021","$118,227,253","Health Information Services","1.21","0.30","0.31","380,641,510","4,716,424","1.24%","Analyze"
"BGRY","Berkshire Grey, Inc. - Class A","02/11/2021","07/21/2021","$279,465,493","Specialty Industrial Machinery","0.97","0.75","1.16","234,844,952","811,836","0.35%","Analyze"
"FFIE","Faraday Future Intelligent Electric Inc.","09/02/2020","07/21/2021","$271,024,662","Auto Manufacturers","0.82","0.27","0.45","692,803,329","56,455,345","8.15%","Analyze"
"MKTW","MarketWise, Inc. - Class A","09/14/2020","07/21/2021","$55,552,543","Software—Application","0.90","0.68","1.70","33,873,502","37,085","0.11%","Analyze"
"OPFI","OppFi Inc. Class A","01/20/2021","07/20/2021","$27,415,913","Software—Application","1.03","0.74","1.89","14,505,774","78,829","0.54%","Analyze"
"SNAX","Stryve Foods, Inc. - Class A","03/06/2019","07/20/2021","$13,188,731","Packaged Foods","0.96","0.85","0.61","21,799,556","53,315","0.24%","Analyze"
"BODY","The Beachbody Company, Inc. Class A","01/15/2021","07/16/2021","$81,456,573","Internet Content & Information","0.83","0.49","0.48","170,911,819","578,907","0.34%","Analyze"
"CELU","Celularity Inc. - Class A","08/08/2019","07/16/2021","$86,833,972","Biotechnology","0.89","0.22","0.59","145,013,313","599,220","0.41%","Analyze"
"EVLV","Evolv Technologies Holdings, Inc. - Class A","09/22/2020","07/16/2021","$404,946,013","Security & Protection Services","0.91","0.94","2.60","144,623,576","1,145,362","0.79%","Analyze"
"HLLY","Holley Inc.","11/27/2020","07/16/2021","$280,232,940","Auto Parts","0.91","0.45","2.37","118,241,747","728,545","0.62%","Analyze"
"HYZN","Hyzon Motors Inc. - Class A","07/14/2021","07/16/2021","$244,559,301","Auto Manufacturers","0.93","0.45","1.05","244,559,301","1,075,296","0.44%","Analyze"
"TALK","Talkspace, Inc.","12/31/2018","07/16/2021","$116,780,921","Medical Care Facilities","0.87","0.64","0.69","162,195,723","232,389","0.14%","Analyze"
"OWLT","Owlet, Inc. Class A","11/05/2020","07/15/2021","$39,451,816","Medical Devices","0.92","0.26","0.34","114,852,448","1,064,051","0.93%","Analyze"
"ENVX","Enovix Corporation","07/12/2021","07/14/2021","$1,814,470,943","Electrical Equipment & Parts","1.25","0.81","11.23","157,780,082","4,537,375","2.88%","Analyze"
"HLMN","Hillman Solutions Corp. - Class A","07/12/2021","07/14/2021","$1,507,750,185","Tools & Accessories","0.92","0.92","7.82","194,548,411","2,186,789","1.12%","Analyze"
"MKFG","Markforged Holding Corporation","10/08/2020","07/14/2021","$176,432,235","Computer Hardware","0.90","0.50","0.90","195,622,835","1,001,964","0.51%","Analyze"
"UP","Wheels Up Experience Inc. Class A","11/18/2020","07/13/2021","$167,287,266","Airports & Air Services","0.78","0.42","0.68","247,502,983","1,500,125","0.61%","Analyze"
"SUNL","Sunlight Financial Holdings, Inc. Class A","01/15/2021","07/09/2021","$28,102,417","Credit Services","0.58","0.15","0.34","82,026,904","499,999","0.61%","Analyze"
"AVPT","AvePoint, Inc. - Class A","06/28/2021","07/01/2021","$739,720,033","Software—Infrastructure","0.86","0.88","4.03","185,393,492","485,084","0.26%","Analyze"
"EVGO","EVgo Inc.","11/20/2020","07/01/2021","$387,716,832","Specialty Retail","0.92","0.74","5.50","69,359,004","1,478,455","2.13%","Analyze"
"SHCR","Sharecare, Inc. - Class A","11/23/2020","07/01/2021","$774,208,802","Health Information Services","0.97","1.18","2.29","353,520,001","600,115","0.17%","Analyze"
"ASTR","Astra Space, Inc. - Class A","06/28/2021","06/30/2021","$87,610,602","Aerospace & Defense","0.82","0.43","0.40","211,926,952","1,912,286","0.90%","Analyze"
"PNT","POINT Biopharma Global Inc.","07/08/2020","06/30/2021","$711,530,740","Biotechnology","0.97","0.95","7.28","104,024,962","643,976","0.62%","Analyze"
"ELMS","Electric Last Mile Solutions, Inc. - Class A","09/21/2020","06/25/2021","$88,109,488","Auto Manufacturers","0.33","0.23","0.09","124,027,612","5,320,555","4.29%","Analyze"
"ORGN","Origin Materials, Inc. - Class A","05/06/2004","06/24/2021","$560,951,412","Chemicals","0.91","0.73","3.95","143,099,850","1,344,643","0.94%","Analyze"
"PWP","Perella Weinberg Partners - Class A","11/24/2020","06/24/2021","$378,031,398","Capital Markets","1.01","1.22","9.82","40,824,125","332,958","0.82%","Analyze"
"LVOX","LiveVox Holding, Inc. - Class A","04/18/2019","06/21/2021","$256,904,973","Software—Infrastructure","1.08","1.13","2.64","100,353,505","93,079","0.09%","Analyze"
"MYPS","PLAYSTUDIOS, Inc.  - Class A","12/21/2020","06/21/2021","$421,860,847","Electronic Gaming & Multimedia","1.02","0.91","3.84","115,895,837","400,301","0.35%","Analyze"
"ATIP","ATI Physical Therapy, Inc. Class A","10/02/2020","06/16/2021","$66,342,225","Medical Care Facilities","0.99","0.38","0.32","207,384,260","331,279","0.16%","Analyze"
"ME","23andMe Holding Co.","11/23/2020","06/16/2021","$632,354,244","Diagnostics & Research","0.97","0.81","2.28","288,746,230","2,046,854","0.71%","Analyze"
"ENSC","Ensysce Biosciences, Inc.","02/26/2018","06/15/2021","$7,210,778","Biotechnology","0.90","0.71","0.61","15,025,584","1,622,942","10.80%","Analyze"
"MAPS","WM Technology, Inc. - Class A","01/04/1999","06/15/2021","$78,465,270","Software—Application","0.97","0.39","0.90","92,573,466","744,007","0.80%","Analyze"
"QSI","Quantum-Si Incorporated - Class A","06/07/2021","06/15/2021","$190,826,593","Biotechnology","0.96","0.65","1.75","120,016,725","879,024","0.73%","Analyze"
"SKIL","Skillsoft Corp. Class A","12/31/1997","06/15/2021","$328,890,802","Education & Training Services","1.02","0.75","2.00","164,445,401","541,437","0.33%","Analyze"
"PTRA","Proterra Inc","05/29/2014","06/14/2021","$382,616,000","Auto Manufacturers","0.60","0.32","1.66","226,400,000","6,422,031","2.84%","Analyze"
"KPLT","Katapult Holdings, Inc.","12/30/2019","06/09/2021","$47,716,677","Software—Infrastructure","0.64","0.46","0.50","98,730,969","290,724","0.29%","Analyze"
"NAUT","Nautilus Biotechnology, Inc.","08/07/2020","06/09/2021","$300,928,005","Biotechnology","1.17","1.15","2.64","124,866,392","186,250","0.15%","Analyze"
"UPH","UpHealth, Inc.","07/01/2019","06/09/2021","$23,183,824","Health Information Services","0.91","1.48","1.54","15,054,431","42,106","0.28%","Analyze"
"CMAX","CareMax, Inc. - Class A","06/04/2021","06/08/2021","$323,977,819","Health Information Services","0.73","0.51","2.79","111,332,584","1,673,672","1.50%","Analyze"
"VWE","Vintage Wine Estates, Inc.","03/12/2020","06/07/2021","$60,759,519","Beverages—Wineries & Distilleries","0.89","0.25","1.13","61,691,054","371,887","0.60%","Analyze"
"LTCH","Latch, Inc.","12/31/2020","06/04/2021","$115,406,863","Software—Application","1.06","0.71","0.76","144,819,755","489,943","0.34%","Analyze"
"CANO","Cano Health, Inc. Class A","07/02/2020","06/03/2021","$290,592,110","Medical Care Facilities","0.95","0.28","1.10","264,174,645","8,368,351","3.17%","Analyze"
"BARK","The Original BARK Company","12/28/2018","06/01/2021","$225,640,302","Specialty Retail","1.05","0.75","1.27","177,669,529","1,613,407","0.91%","Analyze"
"SOFI","SoFi Technologies, Inc.","11/30/2020","05/28/2021","$5,401,710,167","Credit Services","0.92","0.99","5.57","934,551,932","30,862,205","3.30%","Analyze"
"NRXP","NRX Pharmaceuticals, Inc.","12/04/2017","05/24/2021","$47,403,947","Biotechnology","0.91","0.80","0.68","67,690,914","187,390","0.28%","Analyze"
"OWL","Blue Owl Capital Inc. Class A","12/14/2020","05/19/2021","$4,861,019,058","Asset Management","1.02","0.98","10.91","445,556,284","5,260,347","1.18%","Analyze"
"BLDE","Blade Air Mobility, Inc. - Class A","11/05/2019","05/07/2021","$226,912,197","Airports & Air Services","0.73","0.65","3.06","72,035,618","401,736","0.56%","Analyze"
"ZEV","Lightning eMotors, Inc","07/02/2020","05/06/2021","$24,033,149","Farm & Heavy Construction Machinery","0.73","0.15","0.26","94,247,642","2,476,518","2.63%","Analyze"
"SKIN","The Beauty Health Company - Class A","11/24/2020","05/05/2021","$1,571,450,581","Household & Personal Products","1.03","1.06","12.36","132,500,049","2,511,165","1.90%","Analyze"
"STEM","Stem, Inc. Class A","10/08/2020","04/28/2021","$966,092,131","Software—Infrastructure","0.90","0.57","6.25","154,574,741","3,824,933","2.47%","Analyze"
"ASTS","AST SpaceMobile, Inc. - Class A","11/01/2019","04/06/2021","$413,732,947","Telecom Services","0.99","0.88","6.04","71,210,490","1,744,585","2.45%","Analyze"
"AEVA","Aeva Technologies, Inc.","02/27/2020","03/12/2021","$309,887,635","Auto Parts","0.91","0.62","1.42","218,230,729","1,267,354","0.58%","Analyze"
"OUST","Ouster, Inc.","10/09/2020","03/11/2021","$167,066,287","Electronic Components","0.97","0.67","0.90","184,746,530","4,758,714","2.58%","Analyze"
