"Symbol","Name","SPAC IPO date","SPAC merger completion date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"SPCE","Virgin Galactic Holdings, Inc.","09/29/2017","","$1,129,448,953","Aerospace & Defense","0.88","0.73","4.03","280,260,286","8,775,731","3.13%","Analyze"
"STRY","Starry Group Holdings, Inc. Class A","11/27/2020","","$3,440,990","Telecom Services","0.28","0.00","0.01","157,843,557","6,346,538","4.02%","Analyze"
"SWVL","Swvl Holdings Corp - Class A","04/01/2022","","$164,852,574","Software—Application","0.75","0.66","1.22","135,125,061","71,784","0.05%","Analyze"
"TTCF","Tattooed Chef, Inc. - Class A","09/12/2018","","$122,865,106","Packaged Foods","1.08","0.34","1.37","82,459,803","1,017,124","1.23%","Analyze"
"UK","Ucommune International Ltd","11/07/2019","","$4,057,150","Real Estate Services","1.00","0.36","0.95","3,901,106","216,419","5.55%","Analyze"
"USWS","U.S. Well Services, Inc. - Class A","05/05/2017","","$45,037,904","Oil & Gas Midstream","1.08","2.22","7.41","12,827,306","141,988","1.11%","Analyze"
"UTZ","Utz Brands Inc Class A","03/02/2020","","$1,327,800,907","Packaged Foods","0.98","1.02","16.39","81,012,868","574,442","0.71%","Analyze"
"UWMC","UWM Holdings Corporation Class A","03/24/2020","","$442,234,362","Mortgage Finance","1.03","1.23","4.75","93,101,971","1,341,080","1.44%","Analyze"
"VIEW","View, Inc. - Class A","10/19/2020","","$122,733,646","Building Products & Equipment","1.01","0.43","0.57","221,620,884","822,235","0.37%","Analyze"
"VINC","Vincera Pharma, Inc.","05/27/2020","","$19,047,483","Biotechnology","0.91","0.81","0.96","21,189,769","37,969","0.18%","Analyze"
"VLDR","Velodyne Lidar, Inc.","10/26/2018","","$334,810,752","Scientific & Technical Instruments","1.23","1.28","1.35","238,281,867","1,556,325","0.65%","Analyze"
"VRRM","Verra Mobility Corporation - Class A","03/24/2017","","$2,514,803,500","Security & Protection Services","0.99","1.10","17.24","148,981,250","5,247,633","3.52%","Analyze"
"VRT","Vertiv Holdings, LLC Class A","07/30/2018","","$4,996,187,956","Electrical Equipment & Parts","0.96","1.05","13.23","377,640,813","3,202,931","0.85%","Analyze"
"VVNT","Vivint Smart Home, Inc.","01/21/2020","","$2,563,441,739","Security & Protection Services","1.03","1.54","12.00","214,693,613","2,173,592","1.01%","Analyze"
"WEJO","Wejo Group Limited","03/16/2021","","$50,159,346","Software—Infrastructure","1.15","0.63","0.64","108,593,517","390,584","0.36%","Analyze"
"WSC","Willscot Corp","11/30/2017","","$9,285,062,380","Rental & Leasing Services","0.96","1.12","47.40","205,785,957","1,884,952","0.92%","Analyze"
"XELA","Exela Technologies Inc","03/27/2015","","$2,520,836","Software—Application","0.73","0.13","0.04","64,970,000","211,964,028","326.25%","Analyze"
"XL","XL Fleet Corp. Class A","09/03/2019","","$181,592,034","Auto Parts","1.34","1.02","1.14","144,120,662","2,723,512","1.89%","Analyze"
"YTRA","Yatra Online, Inc.","12/19/2016","","$104,057,307","Travel Services","0.87","0.76","1.78","58,132,574","83,157","0.14%","Analyze"
